# precip,,,
,5,5,5
TIMESTEP,MEAN(mm/d),STD_DEV(mm/d),VARIANCE(mm/d^2)
1999-01-01T00:00:00Z,2.350259939,0,0
1999-01-02T00:00:00Z,4.628917973,0,0
1999-01-03T00:00:00Z,0.75152619,0,0
1999-01-04T00:00:00Z,2.073333512,0,0
1999-01-05T00:00:00Z,3.419396819,0,0
1999-01-06T00:00:00Z,4.915534087,0,0
1999-01-07T00:00:00Z,0.584929443,0,0
1999-01-08T00:00:00Z,0.163949662,0,0
1999-01-09T00:00:00Z,0.001093851,0,0
1999-01-10T00:00:00Z,6.656723419,0,0
1999-01-11T00:00:00Z,1.926984372,0,0
1999-01-12T00:00:00Z,0.691666762,0,0
1999-01-13T00:00:00Z,0.18633375,0,0
1999-01-14T00:00:00Z,2.274147047,0,0
1999-01-15T00:00:00Z,7.850804016,0,0
1999-01-16T00:00:00Z,1.553605441,0,0
1999-01-17T00:00:00Z,8.034206409,0,0
1999-01-18T00:00:00Z,11.93993064,0,0
1999-01-19T00:00:00Z,1.690283193,0,0
1999-01-20T00:00:00Z,1.076737089,0,0
1999-01-21T00:00:00Z,3.418540129,0,0
1999-01-22T00:00:00Z,0.398732885,0,0
1999-01-23T00:00:00Z,2.825957244,0,0
1999-01-24T00:00:00Z,2.80955491,0,0
1999-01-25T00:00:00Z,0.933357551,0,0
1999-01-26T00:00:00Z,0.204544416,0,0
1999-01-27T00:00:00Z,0.296148708,0,0
1999-01-28T00:00:00Z,0.00065102,0,0
1999-01-29T00:00:00Z,2.652982402,0,0
1999-01-30T00:00:00Z,6.835654534,0,0
1999-01-31T00:00:00Z,1.138235455,0,0
1999-02-01T00:00:00Z,0.882887096,0,0
1999-02-02T00:00:00Z,0.144649024,0,0
1999-02-03T00:00:00Z,1.371357901,0,0
1999-02-04T00:00:00Z,0.514901227,0,0
1999-02-05T00:00:00Z,0.042429681,0,0
1999-02-06T00:00:00Z,0.003437993,0,0
1999-02-07T00:00:00Z,0.002056469,0,0
1999-02-08T00:00:00Z,0.002698347,0,0
1999-02-09T00:00:00Z,0.022313938,0,0
1999-02-10T00:00:00Z,3.563572007,0,0
1999-02-11T00:00:00Z,3.690673505,0,0
1999-02-12T00:00:00Z,2.281271125,0,0
1999-02-13T00:00:00Z,1.509801583,0,0
1999-02-14T00:00:00Z,3.046975141,0,0
1999-02-15T00:00:00Z,2.275891582,0,0
1999-02-16T00:00:00Z,3.335194755,0,0
1999-02-17T00:00:00Z,4.393306451,0,0
1999-02-18T00:00:00Z,0.201098768,0,0
1999-02-19T00:00:00Z,0.001886262,0,0
1999-02-20T00:00:00Z,2.485027498,0,0
1999-02-21T00:00:00Z,1.614558117,0,0
1999-02-22T00:00:00Z,0.01305434,0,0
1999-02-23T00:00:00Z,0.001774974,0,0
1999-02-24T00:00:00Z,0.001692937,0,0
1999-02-25T00:00:00Z,0.505071533,0,0
1999-02-26T00:00:00Z,3.228209989,0,0
1999-02-27T00:00:00Z,0.731814158,0,0
1999-02-28T00:00:00Z,0.747058779,0,0
1999-03-01T00:00:00Z,0.502498853,0,0
1999-03-02T00:00:00Z,0.230185184,0,0
1999-03-03T00:00:00Z,0.187453536,0,0
1999-03-04T00:00:00Z,0.187482075,0,0
1999-03-05T00:00:00Z,0.052287757,0,0
1999-03-06T00:00:00Z,0.835721299,0,0
1999-03-07T00:00:00Z,0.695562907,0,0
1999-03-08T00:00:00Z,0.544952502,0,0
1999-03-09T00:00:00Z,2.844701543,0,0
1999-03-10T00:00:00Z,1.741622734,0,0
1999-03-11T00:00:00Z,0.516554453,0,0
1999-03-12T00:00:00Z,0.085511367,0,0
1999-03-13T00:00:00Z,0.011787077,0,0
1999-03-14T00:00:00Z,0.028308267,0,0
1999-03-15T00:00:00Z,0.007150273,0,0
1999-03-16T00:00:00Z,3.988881965,0,0
1999-03-17T00:00:00Z,4.65936425,0,0
1999-03-18T00:00:00Z,2.321554116,0,0
1999-03-19T00:00:00Z,0.212274507,0,0
1999-03-20T00:00:00Z,0.984125947,0,0
1999-03-21T00:00:00Z,0.064240712,0,0
1999-03-22T00:00:00Z,0.0000211,0,0
1999-03-23T00:00:00Z,0.003894367,0,0
1999-03-24T00:00:00Z,0.064423096,0,0
1999-03-25T00:00:00Z,0.038872494,0,0
1999-03-26T00:00:00Z,0.691109986,0,0
